Antoine Griezmann	play for	Real Sociedad	0
Real Sociedad	locate in	La Liga	0
Antoine Griezmann	play in	La Liga	0
Juan Manuel Iturbe Arévalos	play for	FC Porto	1
Marcelo Leite Pereira	play for	Skoda Xanthi F.C	2
Saúl Berjón Pérez	play for	Alcorcón	3
Saúl Berjón Pérez	born in	Asturias	3
Saúl Berjón Pérez	born in	Oviedo	3
Oviedo	locate in	Asturias	3
Delfino Pescara	refer as	Pescara Calcio	4
Pescara	locate in	Abruzzo	4
Delfino Pescara	locate in	Abruzzo	4
Delfino Pescara	refer as	Pescara	4
Ezequiel Matias Schelotto	play for	Atalanta B.C	5
Federico Casarini	born in	Italy	7
Federico Casarini	born in	Carpi	7
Carpi	locate in	Italy	7
Fabrizio Cacciatore	play for	A.S.	10
Fabrizio Cacciatore	play in	U.C	10
A.S.	play in	U.C	10
Pedro	play for	Real Murcia	11
Pedro Antonio Sánchez Moñino	born in	Aspe	11
Pedro Antonio Sánchez Moñino	refer as	Pedro	11
Pedro Antonio Sánchez Moñino	play for	Real Murcia	11
Pedro Antonio Sánchez Moñino	born in	Alicante	11
Pedro	born in	Aspe	11
Pedro Antonio Sánchez Moñino	refer as	Spanish	11
Spanish	play for	Real Murcia	11
Pedro	born in	Alicante	11
Aspe	locate in	Alicante	11
Daniele Mori	play for	Empoli	12
Javier	play for	Sevilla FC	14
Varas Herrera	play for	Sevilla FC	14
Gastón Alexis Silva Perdomo	refer as	Gastón Silva	15
Gastón Alexis Silva Perdomo	born in	Salto	15
Antonio Meola	play for	Livorno	16
Albacete	locate in	Castile-La Mancha	17
Víctor Pérez Alonso	born in	Castile-La Mancha	17
Víctor Pérez Alonso	play for	Real Valladolid	17
Spanish	play for	Real Valladolid	17
Víctor Pérez Alonso	born in	Albacete	17
Internazionale	play in	Sampdoria	18
Federico Bonazzoli	play for	Internazionale	18
Federico Bonazzoli	play in	Sampdoria	18
Spanish	play for	Lazio	19
Mamadou Tounkara	play for	Lazio	19
Borja Viguera Manzanares	born in	Logroño	20
Borja Viguera Manzanares	born in	La Rioja	20
Logroño	locate in	La Rioja	20
Albacete Balompié	play in	Real Sociedad	20
Spanish	play in	Real Sociedad	20
Borja Viguera Manzanares	play for	Albacete Balompié	20
Spanish	play for	Albacete Balompié	20
Borja Viguera Manzanares	play in	Real Sociedad	20
Spezia	play in	Atalanta	21
Roberto Gagliardini	play in	Atalanta	21
Roberto Gagliardini	play for	Spezia	21
Rayo Vallecano	play in	Granada CF	22
Mohammed Fatau	play in	Granada CF	22
Mohammed Fatau	play for	Rayo Vallecano	22
Greek	play in	Olympiacos	23
Vasilios Karagounis	play for	Reggina	23
Greek	play for	Lega Pro	23
Greek	play for	Reggina	23
Vasilios Karagounis	play for	Lega Pro	23
Lega Pro	play in	Olympiacos	23
Vasilios Karagounis	play in	Olympiacos	23
Reggina	play in	Olympiacos	23
Rubén Rochina Naixes	play for	Blackburn Rovers	24
Spanish	play for	Blackburn Rovers	24
Castellón de la Plana	locate in	Valencia	25
Spanish	play for	Alcorcón	25
Mohamed Salim Fares	play for	Hellas Verona	27
Philippe Sylvain Senderos	play for	Fulham	30
Philippe Sylvain Senderos	play for	Premier League	30
Philippe Sylvain Senderos	play in	Switzerland	30
Philippe Sylvain Senderos	born in	Geneva	30
Simone Aresti	play for	Savona	31
Estadio Mestalla	locate in	Spain	32
Valencia	locate in	Spain	32
Spanish	play for	Girona FC	33
Óscar Díaz González	born in	Madrid	33
Óscar Díaz González	play for	Girona FC	33
Alfreð Finnbogason	play in	KSC Lokeren	35
Alfreð Finnbogason	play for	Helsingborgs IF	35
Helsingborgs IF	play in	KSC Lokeren	35
Josef Alexander Martínez	born in	Caracas	36
Antonino Ragusa	play for	Reggina	37
Lorenzo Remedi	play for	Livorno	38
Javier Ignacio Aquino Carmona	born in	Oaxaca	39
Javier Ignacio Aquino Carmona	born in	San Francisco Ixhuatán	39
San Francisco Ixhuatán	locate in	Oaxaca	39
Javier Ignacio Aquino Carmona	play for	Cruz Azul	39
Vicenza	play in	Juventus	40
Leonardo Spinazzola	play for	Vicenza	40
Leonardo Spinazzola	play in	Juventus	40
Hörður Björgvin Magnússon	play for	Juventus	41
Hörður Björgvin Magnússon	born in	Reykjavik	41
Fabrizio Grillo	born in	Rome	42
Fabrizio Grillo	play for	Varese	42
Emiliano Daniel Velázquez Maldonado	play in	Uruguay	43
Daniel 'Dani	born in	Calvià	45
Nieto Vela	born in	Palma Nova	45
