PERSON0	Antoine Griezmann
ORGANIZATION1	Real Sociedad
LOCATION2	La Liga
PERSON3	Griezmann
ORGANIZATION4	UEFA
LOCATION5	Mâcon
ORGANIZATION6	UF Mâcon
ORGANIZATION7	Montpellier
LOCATION8	Paris Saint-Germain
LOCATION9	Paris
PERSON10	Juan Manuel Iturbe Arévalos
ORGANIZATION11	FC Porto
LOCATION12	Argentina
PERSON13	Iturbe
LOCATION14	Paraguay
PERSON15	Cerro Porteño
PERSON16	Libertad
ORGANIZATION17	Argentine Primera División
LOCATION18	Cerro Porteño
LOCATION19	Porto
PERSON20	Marcelo Leite Pereira
ORGANIZATION21	Skoda Xanthi F.C
PERSON22	Saúl Berjón Pérez
LOCATION23	Oviedo
LOCATION24	Asturias
PERSON25	Alcorcón
PERSON26	Adrián Colunga
PERSON27	Recreativo de Huelva
ORGANIZATION28	Real Zaragoza
LOCATION29	Getafe
PERSON30	Delfino Pescara
ORGANIZATION31	Pescara
ORGANIZATION32	Pescara Calcio
LOCATION33	Pescara
PERSON34	Abruzzo
PERSON35	Giorgio Repetto
PERSON36	Bruno Nobili
PERSON37	Giovanni Galeone
LOCATION38	Biancazzurri
PERSON39	Júnior
PERSON40	Ezequiel Matias Schelotto
LOCATION41	Atalanta B.C
LOCATION42	Italy
PERSON43	Ezequiel Schelotto
ORGANIZATION44	A.C. Cesena
ORGANIZATION45	FIFA
PERSON46	Schelotto
ORGANIZATION47	Cesena
ORGANIZATION48	Atalanta
PERSON49	A.C. Cesena
PERSON50	Jonathan
PERSON51	Johnny '' Rossini
LOCATION52	Sampdoria
PERSON53	Rossini
ORGANIZATION54	AC Bellinzona
LOCATION55	Switzerland
ORGANIZATION56	EU
LOCATION57	Cittadella
ORGANIZATION58	Udinese Calcio
PERSON59	Fernando Tissone
LOCATION60	Sassuolo
ORGANIZATION61	Sampdoria
PERSON62	Gianluigi Bianco
ORGANIZATION63	Udinese
LOCATION64	Greece
PERSON65	Federico Casarini
LOCATION66	Carpi
ORGANIZATION67	Bologna
LOCATION68	Catania
PERSON69	Casarini
PERSON70	Lorenzo Crisetig
ORGANIZATION71	Internazionale
PERSON72	Crisetig
LOCATION73	Cividale del Friuli
LOCATION74	Udine
LOCATION75	Škrutovega
LOCATION76	San Leonardo
ORGANIZATION77	Donatello
PERSON78	Giovanissimi Nazionali
PERSON79	Allievi Nazionali
PERSON80	José Mourinho
PERSON81	Mourinho
PERSON82	Rafael Tolói
LOCATION83	Brazil
LOCATION84	Glória
PERSON85	Campeonato Goiano
PERSON86	Fabrizio Cacciatore
ORGANIZATION87	A.S.
LOCATION88	U.C
LOCATION89	Turin
LOCATION90	Piedmont
PERSON91	Cacciatore
LOCATION92	Pro Vercelli
LOCATION93	Vercelli
LOCATION94	Lecce
ORGANIZATION95	Coppa Italia
PERSON96	Pedro Antonio Sánchez Moñino
PERSON97	Pedro
LOCATION98	Aspe
LOCATION99	Alicante
LOCATION100	Spanish
ORGANIZATION101	Real Murcia
PERSON102	Daniele Mori
ORGANIZATION103	Empoli
LOCATION104	Livorno
LOCATION105	Tuscany
PERSON106	Mori
PERSON107	Andrea Cupi
PERSON108	Gabriele Angella
PERSON109	Lorenzo Stovini
PERSON110	Lorenzo Tonelli
PERSON111	Angella
PERSON112	Diego Fabbrini
LOCATION113	Empoli
PERSON114	Daniele Ficagna
PERSON115	Tonelli
PERSON116	B. Mori
ORGANIZATION117	Torneo Giovanile
LOCATION118	Montaigu
LOCATION119	Vendée
LOCATION120	France
ORGANIZATION121	Santo André
PERSON122	Javier
PERSON123	Varas Herrera
ORGANIZATION124	Sevilla FC
LOCATION125	Seville
LOCATION126	Andalusia
ORGANIZATION127	Sevilla
PERSON128	Segunda División
PERSON129	David Cobeño
PERSON130	Rayo Vallecano
PERSON131	Varas
PERSON132	Andrés Palop
ORGANIZATION133	Numancia
PERSON134	Palop
ORGANIZATION135	VfB Stuttgart
LOCATION136	Palop
ORGANIZATION137	UEFA Europa League
PERSON138	Marcelino García Toral
PERSON139	Gastón Alexis Silva Perdomo
LOCATION140	Salto
PERSON141	Gastón Silva
ORGANIZATION142	Defensor Sporting
PERSON143	Silva
ORGANIZATION144	Montevideo Wanderers F.C..
LOCATION145	Mexico
LOCATION146	Ecuador
LOCATION147	Uruguay
PERSON148	Antonio Meola
LOCATION149	Naples
PERSON150	Meola
LOCATION151	Lucca
LOCATION152	Avellino
PERSON153	Víctor Pérez Alonso
LOCATION154	Albacete
ORGANIZATION155	Castile-La Mancha
ORGANIZATION156	Real Valladolid
PERSON157	Federico Bonazzoli
PERSON158	Mamadou Tounkara
ORGANIZATION159	Lazio
PERSON160	Borja Viguera Manzanares
LOCATION161	Logroño
LOCATION162	La Rioja
ORGANIZATION163	Albacete Balompié
PERSON164	Roberto Gagliardini
LOCATION165	Spezia
LOCATION166	Atalanta
PERSON167	Mohammed Fatau
LOCATION168	Granada CF
PERSON169	Vasilios Karagounis
LOCATION170	Greek
ORGANIZATION171	Lega Pro
LOCATION172	Reggina
ORGANIZATION173	Olympiacos
PERSON174	Rubén Rochina Naixes
ORGANIZATION175	Blackburn Rovers
LOCATION176	Sagunto
LOCATION177	Valencian Community
PERSON178	Rochina
ORGANIZATION179	FC Barcelona
ORGANIZATION180	Valencia CF
ORGANIZATION181	Catalans
PERSON182	Luis Enrique-led
ORGANIZATION183	Barcelona
ORGANIZATION184	Premier League
ORGANIZATION185	Newcastle United
ORGANIZATION186	Blackburn
ORGANIZATION187	Everton
ORGANIZATION188	Rovers
ORGANIZATION189	Sheffield Wednesday
ORGANIZATION190	Fulham
LOCATION191	Castellón de la Plana
ORGANIZATION192	Valencia
PERSON193	Montañés
PERSON194	Villarreal
ORGANIZATION195	AD Alcorcón
PERSON196	Silva Moreira
PERSON197	Mohamed Salim Fares
PERSON198	Hellas Verona
PERSON199	Lorenzo Ferrari
PERSON200	Pierluigi Cappelluzzo
PERSON201	Philippe Sylvain Senderos
LOCATION202	Geneva
ORGANIZATION203	Servette
ORGANIZATION204	Arsenal
PERSON205	A.C. Milan
PERSON206	Julián Senderos
PERSON207	Zorica Novaković
PERSON208	Philippe
PERSON209	Senderos
LOCATION210	Servette
ORGANIZATION211	West Bromwich Albion
ORGANIZATION212	Middlesbrough
PERSON213	Arsène Wenger
ORGANIZATION214	Milan
PERSON215	Paolo Maldini
PERSON216	Kakha Kaladze
PERSON217	Simone Aresti
PERSON218	Savona
PERSON219	Aresti
ORGANIZATION220	Estadio Mestalla
LOCATION221	Valencia
LOCATION222	Spain
ORGANIZATION223	Valencia Club de Fútbol
LOCATION224	Europe
ORGANIZATION225	Levante UD
LOCATION226	Primera División
LOCATION227	Mestalla
PERSON228	Óscar Díaz González
LOCATION229	Madrid
ORGANIZATION230	Girona FC
PERSON231	Francisco Ochoa
PERSON232	Alfreð Finnbogason
ORGANIZATION233	Helsingborgs IF
ORGANIZATION234	KSC Lokeren
LOCATION235	Faroe Islands
PERSON236	Alfreð
ORGANIZATION237	Celtic F.C.
ORGANIZATION238	Rangers F.C.
ORGANIZATION239	Reading F.C.
ORGANIZATION240	Southampton
LOCATION241	Swansea City F.C
LOCATION242	Reykjavík
LOCATION243	Edinburgh
PERSON244	Hutchison Vale
LOCATION245	Hibernian
PERSON246	Breiðablik
LOCATION247	Breiðablik
ORGANIZATION248	Blackpool
PERSON249	Josef Alexander Martínez
LOCATION250	Caracas
ORGANIZATION251	BSC Young Boys
PERSON252	Martinez
ORGANIZATION253	Estudiantes de Merida
ORGANIZATION254	Deportivo Petare
ORGANIZATION255	El Salvador
PERSON256	Antonino Ragusa
LOCATION257	Messina
LOCATION258	Sicily
PERSON259	Ragusa
LOCATION260	Veneto
LOCATION261	Treviso
LOCATION262	Rimini
ORGANIZATION263	Genoa
PERSON264	Thomas Bonotto
PERSON265	Marco Bincoletto
ORGANIZATION266	Salernitana
LOCATION267	Verona
PERSON268	Dino Fava
PERSON269	Fabinho
PERSON270	Francesco Acerbi
PERSON271	Lorenzo Remedi
PERSON272	Remedi
PERSON273	Javier Ignacio Aquino Carmona
LOCATION274	San Francisco Ixhuatán
LOCATION275	Oaxaca
ORGANIZATION276	Cruz Azul
LOCATION277	Cruz Azul
LOCATION278	Copa America
PERSON279	Cruz Azul
LOCATION280	Lagunas
LOCATION281	Cruz Azul Lagunas
LOCATION282	Mexico City
ORGANIZATION283	Cruz Azul Reserves
ORGANIZATION284	Primera División
PERSON285	Aquino
PERSON286	Leonardo Spinazzola
ORGANIZATION287	Vicenza
ORGANIZATION288	Juventus
PERSON289	Hörður Björgvin Magnússon
LOCATION290	Reykjavik
PERSON291	Hörður
PERSON292	Hlynur Atli Magnússon
LOCATION293	Fram Reykjavik
LOCATION294	Iceland
PERSON295	Fram
LOCATION296	Norway
ORGANIZATION297	Sunderland
LOCATION298	Lyon
ORGANIZATION299	AZ Alkmaar
PERSON300	Fabrizio Grillo
LOCATION301	Rome
PERSON302	Varese
PERSON303	Emiliano Daniel Velázquez Maldonado
PERSON304	Leandro Paredes
PERSON305	Daniel 'Dani
